vote_2020,Gender,Household_Income,Education,State,Age,Race,cell
Donald Trump,Female,"$75,000 to $79,999",Associate Degree,WI,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$175,000 to $199,999",Associate Degree,VA,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$65,000 to $69,999",High school graduate,TX,71 to 80,White,Female 71 to 80
Donald Trump,Female,"Less than $14,999",High school graduate,WA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$80,000 to $84,999","Completed some college, but no degree",MA,21 to 30,White,Female 21 to 30
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",TX,31 to 40,"Black, or African American",Female 31 to 40
Donald Trump,Female,"$40,000 to $44,999","Completed some college, but no degree",CA,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,NC,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$20,000 to $24,999",Associate Degree,MD,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$60,000 to $64,999","Completed some college, but no degree",FL,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$15,000 to $19,999",High school graduate,WV,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$30,000 to $34,999",High school graduate,OH,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$30,000 to $34,999",Associate Degree,NY,above 80,White,Female above 80
Joe Biden,Female,"$40,000 to $44,999","Completed some college, but no degree",KY,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$150,000 to $174,999",Associate Degree,IN,71 to 80,White,Male 71 to 80
Joe Biden,Male,"Less than $14,999",Associate Degree,WA,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$40,000 to $44,999",Associate Degree,IA,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$75,000 to $79,999",Associate Degree,SC,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$85,000 to $89,999",Associate Degree,MN,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$90,000 to $94,999","Completed some college, but no degree",GA,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$75,000 to $79,999",Masters degree,PA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$60,000 to $64,999",Associate Degree,NJ,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$30,000 to $34,999",Associate Degree,VA,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$100,000 to $124,999","Completed some college, but no degree",SC,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,TX,61 to 70,White,Female 61 to 70
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",FL,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Female,"$65,000 to $69,999",Masters degree,AZ,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$45,000 to $49,999",Masters degree,IL,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$75,000 to $79,999","Completed some college, but no degree",OH,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$80,000 to $84,999",Masters degree,OH,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$40,000 to $44,999","Completed some college, but no degree",CA,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$20,000 to $24,999",Completed some high school,FL,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$65,000 to $69,999",Associate Degree,NC,61 to 70,"Black, or African American",Female 61 to 70
Joe Biden,Male,"$200,000 to $249,999",Associate Degree,TX,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$150,000 to $174,999",Doctorate degree,FL,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$95,000 to $99,999",Associate Degree,TX,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$80,000 to $84,999",Associate Degree,NJ,41 to 50,White,Female 41 to 50
Donald Trump,Female,"Less than $14,999","Completed some college, but no degree",OR,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$25,000 to $29,999",Associate Degree,PA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,PA,71 to 80,"Black, or African American",Female 71 to 80
Joe Biden,Female,"$80,000 to $84,999","Completed some college, but no degree",NC,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$35,000 to $39,999",High school graduate,TX,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$75,000 to $79,999",Masters degree,VA,31 to 40,other asian or pacific islander,Male 31 to 40
Donald Trump,Male,"$95,000 to $99,999",Masters degree,OH,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$125,000 to $149,999",Associate Degree,CA,31 to 40,Chinese,Female 31 to 40
Joe Biden,Female,"$85,000 to $89,999",Masters degree,IL,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,NC,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$50,000 to $54,999",High school graduate,MI,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$150,000 to $174,999",Masters degree,CA,20 or less,White,Female 20 or less
Joe Biden,Female,"$65,000 to $69,999","Completed some college, but no degree",MI,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$30,000 to $34,999",Completed some high school,CT,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$50,000 to $54,999",Associate Degree,NC,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$45,000 to $49,999",Associate Degree,CT,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$40,000 to $44,999",Masters degree,NC,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$30,000 to $34,999",Associate Degree,OR,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$100,000 to $124,999",Masters degree,IL,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$30,000 to $34,999",Masters degree,CA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$150,000 to $174,999",Masters degree,FL,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$35,000 to $39,999",Associate Degree,IA,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$100,000 to $124,999",Masters degree,GA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$75,000 to $79,999",Masters degree,NY,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,WA,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$60,000 to $64,999","Completed some college, but no degree",MI,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$55,000 to $59,999",High school graduate,OH,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$45,000 to $49,999",High school graduate,IL,21 to 30,White,Female 21 to 30
Joe Biden,Female,"$90,000 to $94,999",High school graduate,MA,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$80,000 to $84,999",Masters degree,MO,31 to 40,Chinese,Female 31 to 40
Joe Biden,Female,"$60,000 to $64,999",Masters degree,CO,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$90,000 to $94,999",Associate Degree,NC,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$70,000 to $74,999",Masters degree,NY,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$60,000 to $64,999",High school graduate,IN,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,CA,31 to 40,Chinese,Female 31 to 40
Donald Trump,Female,"$250,000 and above","Completed some college, but no degree",FL,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$65,000 to $69,999","Completed some college, but no degree",PA,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$25,000 to $29,999",High school graduate,SC,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$100,000 to $124,999",Masters degree,IL,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$15,000 to $19,999","Completed some college, but no degree",OH,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$90,000 to $94,999",Masters degree,NY,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$65,000 to $69,999","Completed some college, but no degree",IA,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$125,000 to $149,999",Masters degree,WI,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$85,000 to $89,999",Associate Degree,CT,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$30,000 to $34,999",High school graduate,PA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,NJ,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$60,000 to $64,999",Masters degree,DC,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$100,000 to $124,999",Masters degree,PA,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$45,000 to $49,999",Associate Degree,GA,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$150,000 to $174,999",Masters degree,NY,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$150,000 to $174,999",Masters degree,FL,41 to 50,White,Male 41 to 50
Joe Biden,Male,"Less than $14,999",Completed some high school,FL,21 to 30,"Black, or African American",Male 21 to 30
Joe Biden,Male,"Less than $14,999","Completed some college, but no degree",NY,41 to 50,Chinese,Male 41 to 50
Donald Trump,Female,"$30,000 to $34,999",Associate Degree,GA,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$90,000 to $94,999","Completed some college, but no degree",IL,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$55,000 to $59,999","Completed some college, but no degree",NM,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,TN,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,CA,41 to 50,Chinese,Female 41 to 50
Donald Trump,Female,"$55,000 to $59,999",Associate Degree,NC,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$40,000 to $44,999","Completed some college, but no degree",VA,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$45,000 to $49,999",Associate Degree,MN,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$25,000 to $29,999",Associate Degree,WI,71 to 80,White,Male 71 to 80
Joe Biden,Female,"$100,000 to $124,999",Masters degree,PA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$30,000 to $34,999","Completed some college, but no degree",OK,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$100,000 to $124,999",Masters degree,IL,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$100,000 to $124,999",Masters degree,FL,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$55,000 to $59,999",Doctorate degree,TX,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$55,000 to $59,999",Associate Degree,IN,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$15,000 to $19,999",Associate Degree,OH,51 to 60,White,Male 51 to 60
Joe Biden,Male,"$50,000 to $54,999",Associate Degree,AZ,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,NJ,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$40,000 to $44,999","Completed some college, but no degree",CO,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$40,000 to $44,999",Masters degree,PA,51 to 60,other asian or pacific islander,Male 51 to 60
Joe Biden,Female,"$40,000 to $44,999","Completed some college, but no degree",OH,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$25,000 to $29,999",Associate Degree,HI,61 to 70,Japanese,Male 61 to 70
Joe Biden,Male,"$95,000 to $99,999",Masters degree,CT,51 to 60,White,Male 51 to 60
Joe Biden,Female,"$150,000 to $174,999",Masters degree,FL,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$60,000 to $64,999",Associate Degree,NJ,61 to 70,"Black, or African American",Female 61 to 70
Donald Trump,Female,"Less than $14,999",High school graduate,TX,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$80,000 to $84,999",Associate Degree,TX,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$100,000 to $124,999",Masters degree,MT,above 80,White,Male above 80
Joe Biden,Female,"$15,000 to $19,999","Completed some college, but no degree",PA,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$40,000 to $44,999",Associate Degree,CA,above 80,Chinese,Male above 80
Donald Trump,Female,"$45,000 to $49,999","Completed some college, but no degree",TN,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$30,000 to $34,999","Completed some college, but no degree",NC,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$15,000 to $19,999",High school graduate,PA,21 to 30,White,Female 21 to 30
Joe Biden,Female,"$75,000 to $79,999",Associate Degree,CT,41 to 50,Other race,Female 41 to 50
Donald Trump,Female,"$100,000 to $124,999",Doctorate degree,TN,31 to 40,"Black, or African American",Female 31 to 40
Donald Trump,Female,"$175,000 to $199,999",Associate Degree,TN,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$100,000 to $124,999","Completed some college, but no degree",IL,51 to 60,White,Female 51 to 60
Joe Biden,Female,"Less than $14,999",High school graduate,CT,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$55,000 to $59,999","Completed some college, but no degree",WI,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$45,000 to $49,999",Associate Degree,FL,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$15,000 to $19,999","Completed some college, but no degree",VT,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$150,000 to $174,999",Associate Degree,NY,21 to 30,White,Male 21 to 30
Donald Trump,Female,"$15,000 to $19,999",High school graduate,KY,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$25,000 to $29,999","Completed some college, but no degree",MD,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$40,000 to $44,999",Masters degree,MO,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$175,000 to $199,999",Masters degree,FL,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$95,000 to $99,999","Completed some college, but no degree",MT,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$15,000 to $19,999",Completed some high school,WI,31 to 40,"Black, or African American",Female 31 to 40
Donald Trump,Female,"$50,000 to $54,999",Associate Degree,IL,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$150,000 to $174,999","Completed some college, but no degree",MO,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$70,000 to $74,999","Completed some college, but no degree",TX,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$20,000 to $24,999","Completed some college, but no degree",TN,51 to 60,"Black, or African American",Male 51 to 60
Joe Biden,Female,"$55,000 to $59,999",Associate Degree,UT,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$45,000 to $49,999",Associate Degree,MN,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$35,000 to $39,999",Associate Degree,SC,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$50,000 to $54,999",Associate Degree,GA,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$35,000 to $39,999",Masters degree,CA,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$175,000 to $199,999",Associate Degree,VA,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$70,000 to $74,999",High school graduate,WV,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$35,000 to $39,999","Completed some college, but no degree",FL,20 or less,White,Male 20 or less
Donald Trump,Female,"$35,000 to $39,999",Associate Degree,NE,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$15,000 to $19,999",High school graduate,MI,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$70,000 to $74,999",Associate Degree,AZ,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$25,000 to $29,999",High school graduate,TN,71 to 80,White,Female 71 to 80
Joe Biden,Male,"$30,000 to $34,999",Associate Degree,MA,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$100,000 to $124,999","Completed some college, but no degree",IL,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$45,000 to $49,999",Associate Degree,CA,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$30,000 to $34,999",High school graduate,NY,71 to 80,White,Female 71 to 80
Donald Trump,Male,"$15,000 to $19,999",High school graduate,CO,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$150,000 to $174,999",Associate Degree,HI,31 to 40,Japanese,Female 31 to 40
Joe Biden,Female,"$175,000 to $199,999",Masters degree,CA,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$55,000 to $59,999",Associate Degree,CA,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$35,000 to $39,999","Completed some college, but no degree",NY,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$45,000 to $49,999","Completed some college, but no degree",DC,41 to 50,"Black, or African American",Male 41 to 50
Joe Biden,Female,"$70,000 to $74,999",Masters degree,FL,71 to 80,White,Female 71 to 80
Donald Trump,Male,"$175,000 to $199,999",Masters degree,TX,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$200,000 to $249,999",Masters degree,NY,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$20,000 to $24,999",Associate Degree,GA,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$70,000 to $74,999",High school graduate,NY,21 to 30,"Black, or African American",Male 21 to 30
Joe Biden,Female,"$45,000 to $49,999",Associate Degree,OH,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$200,000 to $249,999",Doctorate degree,CO,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$25,000 to $29,999",Associate Degree,NJ,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$40,000 to $44,999",High school graduate,IL,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$50,000 to $54,999",Associate Degree,MN,31 to 40,"Black, or African American",Male 31 to 40
Donald Trump,Female,"$20,000 to $24,999",High school graduate,MO,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$80,000 to $84,999",Masters degree,CA,41 to 50,Other race,Female 41 to 50
Joe Biden,Female,"$100,000 to $124,999","Completed some college, but no degree",CA,20 or less,White,Female 20 or less
Donald Trump,Male,"$70,000 to $74,999",Associate Degree,PA,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,CA,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$35,000 to $39,999",Masters degree,AZ,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$25,000 to $29,999",Completed some high school,MO,31 to 40,"Black, or African American",Male 31 to 40
Joe Biden,Male,"$75,000 to $79,999","Completed some college, but no degree",WI,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$150,000 to $174,999",Associate Degree,NY,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$125,000 to $149,999",Masters degree,PA,31 to 40,White,Male 31 to 40
Joe Biden,Male,"Less than $14,999",High school graduate,NY,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,MN,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$30,000 to $34,999",Associate Degree,NH,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$35,000 to $39,999",High school graduate,MI,31 to 40,White,Female 31 to 40
Joe Biden,Female,"Less than $14,999",Completed some high school,CO,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$175,000 to $199,999",Masters degree,VA,31 to 40,White,Male 31 to 40
Joe Biden,Female,"Less than $14,999",Completed some high school,MI,41 to 50,"Black, or African American",Female 41 to 50
Joe Biden,Female,"$50,000 to $54,999","Completed some college, but no degree",PA,20 or less,other asian or pacific islander,Female 20 or less
Joe Biden,Female,"$100,000 to $124,999",Masters degree,CA,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$20,000 to $24,999",High school graduate,AZ,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$250,000 and above",Associate Degree,KY,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,NV,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$15,000 to $19,999","Completed some college, but no degree",IL,20 or less,White,Male 20 or less
Joe Biden,Male,"$200,000 to $249,999",Masters degree,NY,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$65,000 to $69,999",Associate Degree,GA,20 or less,Other race,Female 20 or less
Joe Biden,Male,"$150,000 to $174,999",Masters degree,VA,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$95,000 to $99,999",Associate Degree,IN,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$35,000 to $39,999",Completed some high school,MD,21 to 30,"Black, or African American",Male 21 to 30
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,CA,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$250,000 and above",Masters degree,NJ,31 to 40,Chinese,Male 31 to 40
Joe Biden,Male,"$30,000 to $34,999",Associate Degree,FL,41 to 50,White,Male 41 to 50
Donald Trump,Male,"Less than $14,999",Completed some high school,TX,41 to 50,other asian or pacific islander,Male 41 to 50
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,WI,41 to 50,White,Male 41 to 50
Joe Biden,Male,"Less than $14,999",High school graduate,FL,20 or less,"Black, or African American",Male 20 or less
Joe Biden,Male,"Less than $14,999","Completed some college, but no degree",MI,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$40,000 to $44,999",Associate Degree,CA,21 to 30,White,Male 21 to 30
Joe Biden,Male,"Less than $14,999","Completed some college, but no degree",IA,20 or less,White,Male 20 or less
Donald Trump,Male,"$200,000 to $249,999",Masters degree,OH,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$25,000 to $29,999",Completed some high school,MI,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$20,000 to $24,999",Associate Degree,MA,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,NJ,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$75,000 to $79,999",Masters degree,CA,61 to 70,White,Female 61 to 70
Donald Trump,Male,"Less than $14,999",Completed some high school,TN,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$200,000 to $249,999",Masters degree,NY,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$50,000 to $54,999",Associate Degree,MO,21 to 30,White,Male 21 to 30
Donald Trump,Female,"$90,000 to $94,999",Associate Degree,OH,31 to 40,White,Female 31 to 40
Joe Biden,Male,"Less than $14,999",Associate Degree,TX,21 to 30,Other race,Male 21 to 30
Joe Biden,Male,"$125,000 to $149,999",High school graduate,MD,61 to 70,"Black, or African American",Male 61 to 70
Joe Biden,Female,"$45,000 to $49,999","Completed some college, but no degree",AZ,above 80,White,Female above 80
Donald Trump,Male,"$35,000 to $39,999",Associate Degree,ME,41 to 50,White,Male 41 to 50
Joe Biden,Male,"Less than $14,999",High school graduate,CA,20 or less,White,Male 20 or less
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,NJ,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$35,000 to $39,999",High school graduate,OH,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$50,000 to $54,999","Completed some college, but no degree",WI,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$30,000 to $34,999","Completed some college, but no degree",SC,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$45,000 to $49,999",High school graduate,ID,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,LA,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$50,000 to $54,999","Completed some college, but no degree",FL,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$45,000 to $49,999",High school graduate,MO,31 to 40,"Black, or African American",Male 31 to 40
Joe Biden,Male,"$200,000 to $249,999",High school graduate,CO,20 or less,White,Male 20 or less
Donald Trump,Male,"$20,000 to $24,999","Completed some college, but no degree",PA,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,NH,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$250,000 and above",Associate Degree,VA,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$35,000 to $39,999",Associate Degree,NC,41 to 50,Other race,Male 41 to 50
Joe Biden,Male,"$35,000 to $39,999",High school graduate,VA,51 to 60,"Black, or African American",Male 51 to 60
Donald Trump,Male,"Less than $14,999","Completed some college, but no degree",FL,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$25,000 to $29,999","Completed some college, but no degree",NE,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$150,000 to $174,999",Masters degree,CA,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$20,000 to $24,999",Completed some high school,OR,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,NJ,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$60,000 to $64,999",Associate Degree,PA,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$95,000 to $99,999",Associate Degree,WA,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$60,000 to $64,999",Associate Degree,FL,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$65,000 to $69,999",Completed some high school,CA,31 to 40,other asian or pacific islander,Male 31 to 40
Donald Trump,Male,"$100,000 to $124,999",Masters degree,CA,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$50,000 to $54,999",High school graduate,AZ,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$150,000 to $174,999",Masters degree,NY,31 to 40,White,Male 31 to 40
Donald Trump,Female,"Less than $14,999",Completed some high school,TX,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$30,000 to $34,999","Completed some college, but no degree",TX,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$70,000 to $74,999",Masters degree,FL,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$40,000 to $44,999","Completed some college, but no degree",CA,41 to 50,White,Female 41 to 50
Joe Biden,Male,"Less than $14,999",High school graduate,CO,51 to 60,"Black, or African American",Male 51 to 60
Joe Biden,Male,"$70,000 to $74,999","Completed some college, but no degree",FL,21 to 30,"Black, or African American",Male 21 to 30
Donald Trump,Female,"$60,000 to $64,999","Completed some college, but no degree",MD,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$35,000 to $39,999","Completed some college, but no degree",KY,51 to 60,White,Female 51 to 60
Donald Trump,Female,"Less than $14,999",Associate Degree,NY,20 or less,White,Female 20 or less
Donald Trump,Female,"$150,000 to $174,999",Associate Degree,CA,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$35,000 to $39,999","Completed some college, but no degree",NC,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$45,000 to $49,999",Doctorate degree,OH,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$35,000 to $39,999","Completed some college, but no degree",TX,20 or less,Other race,Female 20 or less
Joe Biden,Male,"$20,000 to $24,999","Completed some college, but no degree",CA,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$100,000 to $124,999",High school graduate,NC,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$150,000 to $174,999",Associate Degree,IA,51 to 60,White,Male 51 to 60
Joe Biden,Female,"$60,000 to $64,999",Associate Degree,CA,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$30,000 to $34,999",High school graduate,GA,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$30,000 to $34,999",High school graduate,AZ,51 to 60,"Black, or African American",Female 51 to 60
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",SC,31 to 40,"Black, or African American",Female 31 to 40
Joe Biden,Male,"$75,000 to $79,999",Associate Degree,OH,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$100,000 to $124,999",Masters degree,VA,41 to 50,White,Male 41 to 50
Joe Biden,Male,"Less than $14,999","Completed some college, but no degree",IN,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$150,000 to $174,999",Masters degree,GA,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$125,000 to $149,999",High school graduate,MA,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$175,000 to $199,999",Associate Degree,MD,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$55,000 to $59,999",High school graduate,OH,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$250,000 and above",Masters degree,NC,31 to 40,White,Male 31 to 40
